Sales Report for Hopin Express,,,,,,,,,,
Report for 3 Months Commencing Wednesday 1st October 2025,,,,,,,,,,
,,,,,,,,,,
All Wholesalers,1414 Products Sold for Wholesaler,,,,,,,,,
Alcohol,196 Products Sold in Category,,,,,,,,,
Alcohol Beer,38 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
8008440246066,,Asahi Super Dry Large,20.00%,3.49,22,75.12,12.52,39.15,23.45,37.50%
5035766064442,,Birra Moretti 4Pk Can Gg,20.00%,7.99,13,91.87,15.31,58.15,18.41,24.10%
5035766062523,,Birra Moretti Nrb,20.00%,3.69,2,7.38,1.23,3.83,2.32,37.70%
5014379005103,,Budweiser 10 Pack Can,20.00%,13.99,2,26.98,4.5,17.98,4.5,20.00%
5014379004687,,Budweiser 12 Pack Nrb,20.00%,15.5,2,27.5,4.58,16.48,6.44,28.10%
5014379025576,,Budweiser 4Pk Pm 5.99,20.00%,5.99,1,5.99,1,3.67,1.33,26.60%
5014379004533,,Budweiser Lrg Bottle,20.00%,3.59,8,28.72,4.79,14.16,9.77,40.80%
5010153872633,,Carlsberg Pilsner 10Pk,20.00%,12.29,3,36.87,6.14,19.29,11.44,37.20%
5010038462386,,Cobra 4.5% Nrb,20.00%,3.99,4,15.96,2.66,8.26,5.04,37.90%
5010038462461,,Cobra Lager Can 4Pk,20.00%,6.99,2,13.98,2.33,8.1,3.55,30.50%
7501064193040,,Corona 12 Pack Nrb,20.00%,19.99,3,59.97,9.99,35.97,14.01,28.00%
5014379014457,,Corona Large Nrb,20.00%,3.69,19,58.45,9.74,35.69,13.02,26.70%
3155930005568,,Desperados,20.00%,4.69,3,14.07,2.35,7.25,4.48,38.20%
5035766066286,,Desperados 4Pk Can 5.9%,20.00%,8.99,3,26.97,4.5,13.5,8.98,40.00%
8690520510190,,Efes Draft 5%,20.00%,2.79,2,5.58,0.93,3.05,1.6,34.40%
4002103248248,,Erdinger Weiss Beer,20.00%,2.99,2,5.98,1,3.96,1.02,20.40%
5035766185253,,Fosters 10 Pack,20.00%,14,2,28,4.67,15.98,7.35,31.50%
5035766063919,,Heineken 10 Pack Can,20.00%,16.75,1,10,1.67,9.99,-1.66,-19.90%
8712000022662,,Heineken Large Nrb,20.00%,3.69,4,14.76,2.46,7.33,4.97,40.40%
5056225900774,,Kingfisher Lager,20.00%,3.79,34,106.11,17.68,67.97,20.45,23.10%
5010038483992,,Madri Excepciona 4Pk Can,20.00%,6.99,3,20.97,3.5,10.16,7.31,41.90%
5010038499481,,Madri Excepcional 4Pk,20.00%,7.99,6,47.94,7.99,28.41,11.54,28.90%
5010038484098,,Madri Large Bottle,20.00%,3.49,5,17.45,2.91,9.87,4.67,32.10%
5905927000513,,Perla Chmielowa Can,20.00%,1.99,9,17.91,2.98,9.79,5.14,34.40%
5905927007574,,Perla Mocna Can,20.00%,2.19,7,15.33,2.56,8.54,4.24,33.20%
8008440552006,,Peroni Lager 4Pk Can,20.00%,7.49,5,35.95,5.99,20.49,9.47,31.60%
8008440212481,,Peroni Nastro Azzurro,20.00%,3.49,8,25.34,4.22,14.41,6.71,31.80%
5035766061533,,Red Stripe 4 Pk Non Pmp,20.00%,6.99,4,27.96,4.66,17.33,5.97,25.60%
5035766064893,,Red Stripe Pint Non Pmp,20.00%,7.99,8,62.42,10.4,41.34,10.68,20.50%
5014379029772,,San Miguel 12Pk Bottle,20.00%,19.5,1,19.5,3.25,12.79,3.46,21.30%
5014379029833,,San Miguel Large Bottle,20.00%,3.59,5,16.77,2.79,9.65,4.33,31.00%
8850999025315,,Singha Orig Thai Beer,20.00%,3.25,5,13.72,2.29,9.58,1.85,16.20%
5014379012866,,Stella 10 Pack Can,20.00%,13.99,6,83.94,13.99,18.08,51.87,74.20%
5014379012972,,Stella Artois 12 Pk Nrb,20.00%,17.99,1,17.99,3,11.69,3.3,22.00%
5014379025293,,Stella Artois 4.6% Can 568Ml,20.00%,4.68,1,4.68,0.78,0,0,0.00%
5014379012958,,Stella Artois A,20.00%,3.59,4,12,2,7,3,30.00%
5901359194967,,Tyskie Can 4 Pk Pm 6.79,20.00%,6.79,2,13.58,2.26,8.43,2.89,25.50%
5901359074481,,Tyskie Lager Nrb,20.00%,2.89,5,14.45,2.41,8.66,3.38,28.10%
Sub Category Totals for Alcohol Beer,,,,,217,1128.16,188.03,635.95,300.29,32.40%
,,,,,,,,,,
Alcohol Beer PM,17 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5010153873739,,1664 Biere 4Pk Pm 7.75,20.00%,7.75,45,282.18,47.03,194.93,40.22,17.10%
5010153873722,,1664 Biere Pm649,20.00%,6.49,28,147.1,24.52,115.69,6.9,5.60%
5056025486058,,Brewdog Punk Ipa Cn 6.99,20.00%,6.99,2,13.98,2.33,8.33,3.32,28.50%
5014379030600,,Bud 4Pk Pint Can Pm7.59,20.00%,7.59,10,73.22,12.2,44.98,16.03,26.30%
5014379026870,,Budweiser 4Pk Pm 5.99,20.00%,5.99,17,98.23,16.37,57.47,24.39,29.80%
5010153873661,,Carlsberg Export Pm6.25,20.00%,6.25,2,9.98,1.66,6.66,1.65,19.90%
5010153873678,,Carlsberg Export Pm7.49,20.00%,7.49,2,11.58,1.93,8.33,1.32,13.70%
5010153873685,,Carlsberg Pils Pm 5.25,20.00%,5.25,2,10.5,1.75,5.66,3.09,35.30%
5035766185550,,Fosters 4 Pack Pm 6.99,20.00%,6.99,3,20.97,3.5,13.5,3.98,22.80%
5035766185567,,Fosters Lager 4Pk Pm5.69,20.00%,5.69,8,44.08,7.35,26.65,10.08,27.40%
5000213027738,,Guinnes Draug 4Pk 6.69,20.00%,6.69,5,33.45,5.58,20.82,7.05,25.30%
5035766066507,,Heineken 4 Pack Pm 6.59,20.00%,6.59,3,17.57,2.93,12.3,2.35,16.00%
5035766066484,,Heineken Pint Can Pm7.99,20.00%,7.99,6,39.94,6.66,28.16,5.13,15.40%
5014379031232,,San Miguel 4Pk Pm 6.75,20.00%,6.75,3,20.25,3.38,12,4.88,28.90%
5014379031256,,San Miguel 4Pk Pm 7.99,20.00%,7.99,13,91.14,15.19,56.65,19.3,25.40%
5014379030662,,Stella Artois 4Pk 6.49,20.00%,6.49,20,129.8,21.63,71.58,36.58,33.80%
5014379030716,,Stella Pint Can Pm 7.79,20.00%,7.79,11,73.37,12.23,45.65,15.49,25.30%
Sub Category Totals for Alcohol Beer PM,,,,,180,1117.34,186.22,729.35,201.77,21.70%
,,,,,,,,,,
Alcohol Cider,7 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5391520443480,,K Cider Non Pmp,20.00%,1.85,2,3.7,0.62,1.97,1.11,36.00%
5012136012500,,Knights Cider 8.4% ,20.00%,1.69,33,55.77,9.29,75,-28.53,-61.40%
7393714898753,,Koppaberg Variety 10 Pk,20.00%,12.49,1,12.49,2.08,8.69,1.72,16.50%
5020628001178,,Thatchers Gold Cider Nrb,20.00%,2.49-2.89,6,15.74,2.62,8.32,4.79,36.50%
5020628001895,,Thatchers Lemon Cider ,20.00%,6.99,1,6.99,1.17,4.6,1.23,21.10%
5014201701777,,Westons Organic 6% Abv,20.00%,2.79,7,19.53,3.25,11.77,4.51,27.70%
5014201655414,,Westons Vintage,20.00%,2.79,5,13.95,2.33,8.68,2.94,25.30%
Sub Category Totals for Alcohol Cider,,,,,55,128.17,21.36,119.04,-12.23,-11.40%
,,,,,,,,,,
Alcohol Cider PM,11 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5020379185967,,Barnstormer Black Cdr Pm135,20.00%,1.35,176,237.6,39.6,137.79,60.21,30.40%
